t[s],x[m],y[m]
98.4660668373,-0.000336889293976,-0.0257424991578
98.7045619488,-0.000336889293976,-0.0257424991578
99.0071072578,0.0282618422061,-0.00249380036257
99.2107000351,0.00384604954161,0.0370051711798
99.4562239647,0.0654840320349,0.00778421713039
99.696315527,0.0186269897968,-0.108201526105
100.077349186,0.0240089073777,-0.0221690498292
100.192280293,0.0228233635426,-0.0285158436745
100.451283932,0.0228233635426,-0.0285158436745
100.694473267,0.0121733983979,-0.0960323363543
101.045918465,-0.103196054697,-0.0807181596756
101.197446823,-0.103196054697,-0.0807181596756
101.460911989,0.0226881559938,-0.0925145670772
101.698586702,-0.0355759710073,-0.108883962035
102.052500963,-0.0363357141614,-0.095653526485
102.208854437,-0.111340366304,-0.0942111834884
102.450521708,-0.117005839944,-0.094103962183
102.707084656,-0.116194270551,-0.180652737617
103.059383154,-0.116194270551,-0.180652737617
103.199875832,-0.00873571448028,-0.582555234432
103.443046331,-0.0858866423368,-0.207346901298
103.698892593,-0.0725355818868,-0.165603160858
104.044556141,-0.105603910983,-0.163842797279
104.198811054,-0.105603910983,-0.163842797279
104.451194763,-0.146651625633,-0.138150528073
104.701612473,-0.0882464051247,-0.0793870314956
105.101067305,-0.149023741484,-0.171711876988
105.203627586,-0.149023741484,-0.171711876988
105.454630613,-0.149023741484,-0.171711876988
105.705106735,-0.0992509871721,-0.0880337581038
106.082573652,-0.0609229430556,-0.0578259192407
106.209296465,-0.0422667935491,-0.108661524951
106.44838953,-0.0592143572867,-0.112826235592
106.695389032,-0.0321025885642,-0.0425634421408
107.05164814,0.00222538528033,-0.0700088515878
107.196754694,0.00222538528033,-0.0700088515878
107.438163042,-0.0189855825156,-0.136565357447
107.698468924,-0.0254244115204,-0.0929588004947
108.022144794,0.0338641069829,-0.103129349649
108.198670864,0.0338641069829,-0.103129349649
108.44362402,0.0849926024675,-0.0624673776329
108.71790266,0.0772682577372,-0.0281338114291
108.996739626,0.0746919736266,0.00399007974193
109.204208612,-0.0366444587708,-0.0224331561476
109.446851969,-0.0366444587708,-0.0224331561476
109.741738796,-0.0211069211364,-0.020545233041
110.010232925,0.0292317010462,-0.125379472971
110.207900524,0.0242539998144,0.0170737896115
110.451184988,0.0242539998144,0.0170737896115
110.693814516,0.0302454102784,-0.0447291247547
111.002743483,-0.0608008503914,-0.0905284583569
